feature,importance_mean,importance_std
created_days,0.334555508671623,0.025297385482159977
labels_clean,0.20597306053073358,0.016666717522044787
Priority,0.05439577420399102,0.009632240247426998
text,0.005409675674455073,0.017414444015303777
summary_len,0.003930943466078929,0.002573406569414109
created_year,0.0,0.0
is_weekend,0.0,0.0
created_dow,0.0,0.0
desc_words,0.0,0.0
desc_len,0.0,0.0
has_code,0.0,0.0
has_module_path,0.0,0.0
n_labels,0.0,0.0
has_url,0.0,0.0
has_question,0.0,0.0
desc_equals_summary,0.0,0.0
created_hour,-0.0006325822090869959,0.0017042718594350189
created_month,-0.007938365534238412,0.005470304830388233
