task_key,project_key,created_date,anomaly_score,potential_bottleneck
OAK-7182,OAK,2018-01-22 11:30:55,1.0,1
BEAM-2530,BEAM,2017-06-28 17:01:42,0.9994448204906504,1
ZOOKEEPER-107,ZOOKEEPER,2008-07-29 23:02:56,0.9977804083985545,1
IGNITE-2703,IGNITE,2016-02-20 13:03:50,0.9972259796348634,1
MNG-624,MNG,2005-07-20 22:56:35,0.9911396261211279,1
FLINK-18356,FLINK,2020-06-18 08:45:15,0.9867273911897028,1
YARN-149,YARN,2012-06-17 09:07:34,0.9823270811456618,1
HIVE-4570,HIVE,2013-05-16 08:32:10,0.9773909461872888,1
HIVE-2206,HIVE,2011-06-08 08:38:30,0.9753623695512965,1
HDFS-326,HDFS,2008-06-24 12:35:39,0.9746551359385057,1
HIVE-675,HIVE,2009-07-22 23:26:13,0.9742688621599592,1
HADOOP-14556,HADOOP,2017-06-20 18:38:55,0.973722385846278,1
SENTRY-872,SENTRY,2015-09-03 00:57:01,0.973562106889914,1
YARN-925,YARN,2013-07-15 23:48:07,0.9719239493077119,1
SVN-695,SVN,2002-05-01 21:40:42,0.969197378480826,1
IMPALA-2567,IMPALA,2015-10-20 00:48:36,0.9664754156569733,1
YARN-2,YARN,2012-06-08 07:15:06,0.9641269734076064,1
CASSANDRA-6717,CASSANDRA,2014-02-18 11:20:46,0.961045282880763,1
HADOOP-11794,HADOOP,2011-01-11 19:30:16,0.961045282880763,1
HADOOP-10400,HADOOP,2014-03-11 02:57:53,0.9605032792568872,1
FLINK-14482,FLINK,2019-10-22 08:39:28,0.9583370973924848,1
MRELEASE-128,MRELEASE,2006-06-06 11:37:21,0.957796009774281,1
SPARK-18057,SPARK,2016-10-21 20:21:50,0.9572551051713581,1
SVN-494,SVN,2001-09-20 18:52:14,0.9567143835218133,1
HBASE-10092,HBASE,2013-12-06 01:03:00,0.95509331567474,1
HDFS-347,HDFS,2008-12-07 20:34:16,0.95509331567474,1
ZOOKEEPER-938,ZOOKEEPER,2010-11-23 18:25:18,0.953840448883734,1
HADOOP-1700,HADOOP,2007-08-09 20:45:10,0.953840448883734,1
MAPREDUCE-181,MAPREDUCE,2008-06-17 08:08:48,0.953840448883734,1
LUCENE-1486,LUCENE,2008-12-10 19:18:22,0.9529344494741928,1
